i;n_obj;max_weight;max_value;seq_time
1;1600;40;320;2,28882e-05
2;1600;40;320;2,28882e-05
3;1600;40;320;3,40939e-05
4;1600;40;320;2,28882e-05
5;1600;40;320;3,48091e-05
6;1600;40;320;2,40803e-05
7;1600;40;320;2,31266e-05
8;1600;40;320;2,71797e-05
9;1600;40;320;2,28882e-05
10;1600;40;320;2,40803e-05
11;1600;40;320;2,38419e-05
12;1600;40;320;2,38419e-05
13;1600;40;320;7,89165e-05
14;1600;40;320;3,31402e-05
15;1600;40;320;2,28882e-05
16;1600;40;320;2,28882e-05
17;1600;40;320;2,38419e-05
18;1600;40;320;2,5034e-05
19;1600;40;320;2,28882e-05
20;1600;40;320;2,31266e-05
