i;n_obj;max_weight;max_value;seq_time
1;1600;160;3970;4,60148e-05
2;1600;160;3970;4,69685e-05
3;1600;160;3970;4,91142e-05
4;1600;160;3970;4,79221e-05
5;1600;160;3970;4,60148e-05
6;1600;160;3970;4,69685e-05
7;1600;160;3970;4,69685e-05
8;1600;160;3970;4,69685e-05
9;1600;160;3970;4,88758e-05
10;1600;160;3970;4,60148e-05
11;1600;160;3970;4,60148e-05
12;1600;160;3970;5,10216e-05
13;1600;160;3970;4,60148e-05
14;1600;160;3970;4,60148e-05
15;1600;160;3970;4,60148e-05
16;1600;160;3970;4,50611e-05
17;1600;160;3970;4,60148e-05
18;1600;160;3970;4,81606e-05
19;1600;160;3970;4,50611e-05
20;1600;160;3970;7,29561e-05
