i;n_obj;max_weight;max_value;seq_time
1;200;80;810;5,00679e-06
2;200;80;810;5,00679e-06
3;200;80;810;5,00679e-06
4;200;80;810;5,00679e-06
5;200;80;810;8,10623e-06
6;200;80;810;5,00679e-06
7;200;80;810;5,00679e-06
8;200;80;810;5,00679e-06
9;200;80;810;5,00679e-06
10;200;80;810;5,00679e-06
11;200;80;810;5,00679e-06
12;200;80;810;5,00679e-06
13;200;80;810;5,00679e-06
14;200;80;810;5,00679e-06
15;200;80;810;5,00679e-06
16;200;80;810;5,00679e-06
17;200;80;810;8,10623e-06
18;200;80;810;5,00679e-06
19;200;80;810;5,00679e-06
20;200;80;810;5,00679e-06
