i;n_obj;max_weight;max_value;seq_time
1;200;40;310;4,05312e-06
2;200;40;310;4,05312e-06
3;200;40;310;4,05312e-06
4;200;40;310;4,05312e-06
5;200;40;310;4,05312e-06
6;200;40;310;4,05312e-06
7;200;40;310;3,8147e-06
8;200;40;310;4,05312e-06
9;200;40;310;4,05312e-06
10;200;40;310;4,05312e-06
11;200;40;310;5,96046e-06
12;200;40;310;4,05312e-06
13;200;40;310;4,05312e-06
14;200;40;310;5,00679e-06
15;200;40;310;4,05312e-06
16;200;40;310;4,05312e-06
17;200;40;310;4,05312e-06
18;200;40;310;4,05312e-06
19;200;40;310;4,76837e-06
20;200;40;310;3,8147e-06
