i;n_obj;max_weight;max_value;seq_time
1;400;40;320;7,86781e-06
2;400;40;320;7,15256e-06
3;400;40;320;6,91414e-06
4;400;40;320;6,91414e-06
5;400;40;320;7,15256e-06
6;400;40;320;1,3113e-05
7;400;40;320;6,91414e-06
8;400;40;320;6,91414e-06
9;400;40;320;7,15256e-06
10;400;40;320;1,09673e-05
11;400;40;320;6,91414e-06
12;400;40;320;7,15256e-06
13;400;40;320;6,91414e-06
14;400;40;320;6,91414e-06
15;400;40;320;6,91414e-06
16;400;40;320;7,15256e-06
17;400;40;320;6,91414e-06
18;400;40;320;6,91414e-06
19;400;40;320;7,86781e-06
20;400;40;320;7,15256e-06
