i;n_obj;max_weight;max_value;seq_time
1;100;640;5285;1,38283e-05
2;100;640;5285;1,28746e-05
3;100;640;5285;1,40667e-05
4;100;640;5285;1,28746e-05
5;100;640;5285;1,3113e-05
6;100;640;5285;1,38283e-05
7;100;640;5285;1,28746e-05
8;100;640;5285;1,40667e-05
9;100;640;5285;1,28746e-05
10;100;640;5285;1,28746e-05
11;100;640;5285;1,3113e-05
12;100;640;5285;1,38283e-05
13;100;640;5285;1,40667e-05
14;100;640;5285;1,5974e-05
15;100;640;5285;1,38283e-05
16;100;640;5285;1,50204e-05
17;100;640;5285;1,38283e-05
18;100;640;5285;1,40667e-05
19;100;640;5285;1,28746e-05
20;100;640;5285;1,3113e-05
