i;n_obj;max_weight;max_value;seq_time
1;400;320;5885;1,90735e-05
2;400;320;5885;3,00407e-05
3;400;320;5885;2,69413e-05
4;400;320;5885;2,00272e-05
5;400;320;5885;2,00272e-05
6;400;320;5885;1,97887e-05
7;400;320;5885;2,00272e-05
8;400;320;5885;2,00272e-05
9;400;320;5885;2,00272e-05
10;400;320;5885;2,00272e-05
11;400;320;5885;2,00272e-05
12;400;320;5885;2,40803e-05
13;400;320;5885;2,00272e-05
14;400;320;5885;3,50475e-05
15;400;320;5885;2,00272e-05
16;400;320;5885;2,00272e-05
17;400;320;5885;2,00272e-05
18;400;320;5885;2,00272e-05
19;400;320;5885;1,90735e-05
20;400;320;5885;1,97887e-05
