i;n_obj;max_weight;max_value;seq_time
1;40000;400000;64439870;2,22818
2;40000;400000;64439870;2,22735
3;40000;400000;64439870;2,34787
4;40000;400000;64439870;2,23032
5;40000;400000;64439870;2,25143
6;40000;400000;64439870;2,35439
7;40000;400000;64439870;2,313
8;40000;400000;64439870;2,30081
9;40000;400000;64439870;2,31906
10;40000;400000;64439870;2,20786
11;40000;400000;64439870;2,28494
12;40000;400000;64439870;2,30426
13;40000;400000;64439870;2,21611
14;40000;400000;64439870;2,28377
15;40000;400000;64439870;2,28005
16;40000;400000;64439870;2,22657
17;40000;400000;64439870;2,30627
18;40000;400000;64439870;2,29608
19;40000;400000;64439870;2,19955
20;40000;400000;64439870;2,31273
