i;n_obj;max_weight;max_value;seq_time
1;20000;50000;5788335;0,114966
2;20000;50000;5788335;0,114054
3;20000;50000;5788335;0,110602
4;20000;50000;5788335;0,112727
5;20000;50000;5788335;0,1204
6;20000;50000;5788335;0,118138
7;20000;50000;5788335;0,111175
8;20000;50000;5788335;0,115221
9;20000;50000;5788335;0,120404
10;20000;50000;5788335;0,116578
11;20000;50000;5788335;0,11635
12;20000;50000;5788335;0,119458
13;20000;50000;5788335;0,118304
14;20000;50000;5788335;0,116329
15;20000;50000;5788335;0,116269
16;20000;50000;5788335;0,114429
17;20000;50000;5788335;0,111262
18;20000;50000;5788335;0,111332
19;20000;50000;5788335;0,113119
20;20000;50000;5788335;0,112414
