i;n_obj;max_weight;max_value;seq_time
1;20000;800000;89236915;2,30878
2;20000;800000;89236915;2,30406
3;20000;800000;89236915;2,38259
4;20000;800000;89236915;2,27904
5;20000;800000;89236915;2,33206
6;20000;800000;89236915;2,31907
7;20000;800000;89236915;2,2688
8;20000;800000;89236915;2,34932
9;20000;800000;89236915;2,34454
10;20000;800000;89236915;2,24707
11;20000;800000;89236915;2,34976
12;20000;800000;89236915;2,24995
13;20000;800000;89236915;2,25716
14;20000;800000;89236915;2,39328
15;20000;800000;89236915;2,23518
16;20000;800000;89236915;2,22897
17;20000;800000;89236915;2,37111
18;20000;800000;89236915;2,30997
19;20000;800000;89236915;2,27454
20;20000;800000;89236915;2,35143
