i;n_obj;max_weight;max_value;seq_time
1;80000;50000;11731110;0,491083
2;80000;50000;11731110;0,469842
3;80000;50000;11731110;0,451646
4;80000;50000;11731110;0,434624
5;80000;50000;11731110;0,455526
6;80000;50000;11731110;0,4415
7;80000;50000;11731110;0,445184
8;80000;50000;11731110;0,440961
9;80000;50000;11731110;0,443603
10;80000;50000;11731110;0,438929
11;80000;50000;11731110;0,445133
12;80000;50000;11731110;0,441707
13;80000;50000;11731110;0,44207
14;80000;50000;11731110;0,445467
15;80000;50000;11731110;0,43711
16;80000;50000;11731110;0,446685
17;80000;50000;11731110;0,435889
18;80000;50000;11731110;0,44608
19;80000;50000;11731110;0,439569
20;80000;50000;11731110;0,460166
