i;n_obj;max_weight;max_value;seq_time
1;160000;50000;16329875;0,885976
2;160000;50000;16329875;0,887658
3;160000;50000;16329875;0,893522
4;160000;50000;16329875;0,890437
5;160000;50000;16329875;0,877659
6;160000;50000;16329875;0,880449
7;160000;50000;16329875;0,888808
8;160000;50000;16329875;0,888428
9;160000;50000;16329875;0,881319
10;160000;50000;16329875;0,889596
11;160000;50000;16329875;0,885788
12;160000;50000;16329875;0,881283
13;160000;50000;16329875;0,887828
14;160000;50000;16329875;0,884586
15;160000;50000;16329875;0,873677
16;160000;50000;16329875;0,877388
17;160000;50000;16329875;0,888364
18;160000;50000;16329875;0,882876
19;160000;50000;16329875;0,87943
20;160000;50000;16329875;0,883038
