i;n_obj;max_weight;max_value;seq_time
1;80000;400000;93492455;4,53637
2;80000;400000;93492455;4,60789
3;80000;400000;93492455;4,44621
4;80000;400000;93492455;4,53563
5;80000;400000;93492455;4,62477
6;80000;400000;93492455;4,56154
7;80000;400000;93492455;4,51008
8;80000;400000;93492455;4,58509
9;80000;400000;93492455;4,51106
10;80000;400000;93492455;4,48184
11;80000;400000;93492455;4,56701
12;80000;400000;93492455;4,51108
13;80000;400000;93492455;4,49571
14;80000;400000;93492455;4,6323
15;80000;400000;93492455;4,64027
16;80000;400000;93492455;4,53245
17;80000;400000;93492455;4,60339
18;80000;400000;93492455;4,552
19;80000;400000;93492455;4,48477
20;80000;400000;93492455;4,5273
