i;n_obj;max_weight;max_value;seq_time
1;320000;400000;185714720;17,8335
2;320000;400000;185714720;17,7752
3;320000;400000;185714720;17,8285
4;320000;400000;185714720;17,9118
5;320000;400000;185714720;17,8047
6;320000;400000;185714720;17,8183
7;320000;400000;185714720;17,9424
8;320000;400000;185714720;18,166
9;320000;400000;185714720;18,087
10;320000;400000;185714720;17,8479
11;320000;400000;185714720;17,8889
12;320000;400000;185714720;17,9255
13;320000;400000;185714720;17,6845
14;320000;400000;185714720;17,8442
15;320000;400000;185714720;17,9144
16;320000;400000;185714720;17,8999
17;320000;400000;185714720;18,1228
18;320000;400000;185714720;17,7986
19;320000;400000;185714720;17,8834
20;320000;400000;185714720;17,7606
