i;n_obj;max_weight;max_value;seq_time
1;40000;800000;131629890;4,51738
2;40000;800000;131629890;4,60344
3;40000;800000;131629890;4,64244
4;40000;800000;131629890;4,48956
5;40000;800000;131629890;4,64773
6;40000;800000;131629890;4,62653
7;40000;800000;131629890;4,45353
8;40000;800000;131629890;4,5744
9;40000;800000;131629890;4,61283
10;40000;800000;131629890;4,56666
11;40000;800000;131629890;4,52781
12;40000;800000;131629890;4,75787
13;40000;800000;131629890;4,64107
14;40000;800000;131629890;4,50593
15;40000;800000;131629890;4,85165
16;40000;800000;131629890;4,67745
17;40000;800000;131629890;4,48887
18;40000;800000;131629890;4,55254
19;40000;800000;131629890;4,60427
20;40000;800000;131629890;4,48376
