i;n_obj;max_weight;max_value;seq_time
1;320000;800000;369550805;35,7194
2;320000;800000;369550805;35,8587
3;320000;800000;369550805;35,7209
4;320000;800000;369550805;35,8319
5;320000;800000;369550805;35,911
6;320000;800000;369550805;35,7546
7;320000;800000;369550805;35,8926
8;320000;800000;369550805;36,0532
9;320000;800000;369550805;35,8704
10;320000;800000;369550805;35,8382
11;320000;800000;369550805;35,9138
12;320000;800000;369550805;35,801
13;320000;800000;369550805;35,7137
14;320000;800000;369550805;36,1252
15;320000;800000;369550805;36,6732
16;320000;800000;369550805;35,8827
17;320000;800000;369550805;35,9105
18;320000;800000;369550805;35,7528
19;320000;800000;369550805;36,0386
20;320000;800000;369550805;35,838
