i;n_obj;max_weight;max_value;seq_time
1;320000;50000;23350520;1,84885
2;320000;50000;23350520;1,82223
3;320000;50000;23350520;1,74939
4;320000;50000;23350520;1,76171
5;320000;50000;23350520;1,87975
6;320000;50000;23350520;1,76653
7;320000;50000;23350520;1,75522
8;320000;50000;23350520;1,80729
9;320000;50000;23350520;1,84926
10;320000;50000;23350520;1,75104
11;320000;50000;23350520;1,75933
12;320000;50000;23350520;1,86731
13;320000;50000;23350520;1,79077
14;320000;50000;23350520;1,79068
15;320000;50000;23350520;1,7757
16;320000;50000;23350520;1,84225
17;320000;50000;23350520;1,77533
18;320000;50000;23350520;1,76959
19;320000;50000;23350520;1,84899
20;320000;50000;23350520;1,77266
