i;n_obj;max_weight;max_value;seq_time
1;80000;100000;23181195;1,05159
2;80000;100000;23181195;1,09886
3;80000;100000;23181195;1,08829
4;80000;100000;23181195;1,04054
5;80000;100000;23181195;1,03522
6;80000;100000;23181195;1,02713
7;80000;100000;23181195;1,01638
8;80000;100000;23181195;1,07905
9;80000;100000;23181195;1,09151
10;80000;100000;23181195;1,05107
11;80000;100000;23181195;1,02803
12;80000;100000;23181195;1,03983
13;80000;100000;23181195;1,04688
14;80000;100000;23181195;1,083
15;80000;100000;23181195;1,08948
16;80000;100000;23181195;1,04452
17;80000;100000;23181195;1,02796
18;80000;100000;23181195;1,05194
19;80000;100000;23181195;1,0422
20;80000;100000;23181195;1,09803
