i;n_obj;max_weight;max_value;seq_time
1;20000;100000;11421190;0,26529
2;20000;100000;11421190;0,264785
3;20000;100000;11421190;0,268159
4;20000;100000;11421190;0,259162
5;20000;100000;11421190;0,258893
6;20000;100000;11421190;0,263329
7;20000;100000;11421190;0,259269
8;20000;100000;11421190;0,257231
9;20000;100000;11421190;0,257941
10;20000;100000;11421190;0,257696
11;20000;100000;11421190;0,264259
12;20000;100000;11421190;0,260396
13;20000;100000;11421190;0,260396
14;20000;100000;11421190;0,262535
15;20000;100000;11421190;0,269816
16;20000;100000;11421190;0,26039
17;20000;100000;11421190;0,264548
18;20000;100000;11421190;0,270749
19;20000;100000;11421190;0,264091
20;20000;100000;11421190;0,260866
