i;n_obj;max_weight;max_value;seq_time
1;160000;400000;133598390;9,14817
2;160000;400000;133598390;9,01127
3;160000;400000;133598390;9,03696
4;160000;400000;133598390;9,01163
5;160000;400000;133598390;8,96983
6;160000;400000;133598390;9,02544
7;160000;400000;133598390;9,10355
8;160000;400000;133598390;8,95883
9;160000;400000;133598390;9,04123
10;160000;400000;133598390;9,09079
11;160000;400000;133598390;8,96402
12;160000;400000;133598390;8,99833
13;160000;400000;133598390;8,96571
14;160000;400000;133598390;9,01754
15;160000;400000;133598390;8,9546
16;160000;400000;133598390;9,0549
17;160000;400000;133598390;9,01138
18;160000;400000;133598390;8,97892
19;160000;400000;133598390;8,96286
20;160000;400000;133598390;8,9472
