i;n_obj;max_weight;max_value;seq_time
1;160000;800000;263919935;17,9489
2;160000;800000;263919935;18,1611
3;160000;800000;263919935;18,0392
4;160000;800000;263919935;18,1293
5;160000;800000;263919935;18,0034
6;160000;800000;263919935;18,0614
7;160000;800000;263919935;18,0124
8;160000;800000;263919935;17,9816
9;160000;800000;263919935;17,9781
10;160000;800000;263919935;17,8376
11;160000;800000;263919935;18,589
12;160000;800000;263919935;17,9134
13;160000;800000;263919935;18,0429
14;160000;800000;263919935;18,0063
15;160000;800000;263919935;17,9455
16;160000;800000;263919935;17,9786
17;160000;800000;263919935;17,846
18;160000;800000;263919935;17,9044
19;160000;800000;263919935;18,0527
20;160000;800000;263919935;18,0184
