i;n_obj;max_weight;max_value;seq_time
1;40000;100000;16502125;0,524376
2;40000;100000;16502125;0,511596
3;40000;100000;16502125;0,527263
4;40000;100000;16502125;0,517657
5;40000;100000;16502125;0,521923
6;40000;100000;16502125;0,522776
7;40000;100000;16502125;0,523057
8;40000;100000;16502125;0,533329
9;40000;100000;16502125;0,508529
10;40000;100000;16502125;0,51958
11;40000;100000;16502125;0,516595
12;40000;100000;16502125;0,523809
13;40000;100000;16502125;0,509443
14;40000;100000;16502125;0,519403
15;40000;100000;16502125;0,515765
16;40000;100000;16502125;0,524267
17;40000;100000;16502125;0,510304
18;40000;100000;16502125;0,517247
19;40000;100000;16502125;0,530656
20;40000;100000;16502125;0,5227
