i;n_obj;max_weight;max_value;seq_time
1;320000;100000;46809700;4,1305
2;320000;100000;46809700;4,2013
3;320000;100000;46809700;4,19855
4;320000;100000;46809700;4,14143
5;320000;100000;46809700;4,23087
6;320000;100000;46809700;4,21704
7;320000;100000;46809700;4,06555
8;320000;100000;46809700;4,20933
9;320000;100000;46809700;4,1932
10;320000;100000;46809700;4,06106
11;320000;100000;46809700;4,24812
12;320000;100000;46809700;4,14147
13;320000;100000;46809700;4,09705
14;320000;100000;46809700;4,2074
15;320000;100000;46809700;4,08075
16;320000;100000;46809700;4,15236
17;320000;100000;46809700;4,47409
18;320000;100000;46809700;4,62938
19;320000;100000;46809700;4,60791
20;320000;100000;46809700;4,2577
