i;n_obj;max_weight;max_value;seq_time
1;40000;50000;8189655;0,227066
2;40000;50000;8189655;0,223288
3;40000;50000;8189655;0,226247
4;40000;50000;8189655;0,223177
5;40000;50000;8189655;0,232454
6;40000;50000;8189655;0,22721
7;40000;50000;8189655;0,221245
8;40000;50000;8189655;0,218675
9;40000;50000;8189655;0,225567
10;40000;50000;8189655;0,221465
11;40000;50000;8189655;0,221341
12;40000;50000;8189655;0,222544
13;40000;50000;8189655;0,224625
14;40000;50000;8189655;0,222954
15;40000;50000;8189655;0,219324
16;40000;50000;8189655;0,221449
17;40000;50000;8189655;0,223921
18;40000;50000;8189655;0,223038
19;40000;50000;8189655;0,221647
20;40000;50000;8189655;0,219772
