i;n_obj;max_weight;max_value;seq_time
1;160000;100000;33089375;2,1243
2;160000;100000;33089375;2,13017
3;160000;100000;33089375;2,04072
4;160000;100000;33089375;2,07221
5;160000;100000;33089375;2,10567
6;160000;100000;33089375;2,03166
7;160000;100000;33089375;2,07344
8;160000;100000;33089375;2,11945
9;160000;100000;33089375;2,05913
10;160000;100000;33089375;2,0773
11;160000;100000;33089375;2,13556
12;160000;100000;33089375;2,0322
13;160000;100000;33089375;2,02557
14;160000;100000;33089375;2,2708
15;160000;100000;33089375;2,06936
16;160000;100000;33089375;2,0986
17;160000;100000;33089375;2,16072
18;160000;100000;33089375;2,05002
19;160000;100000;33089375;2,05816
20;160000;100000;33089375;2,15758
