i;n_obj;max_weight;max_value;seq_time
1;20000;400000;45826380;1,13061
2;20000;400000;45826380;1,19757
3;20000;400000;45826380;1,1455
4;20000;400000;45826380;1,1153
5;20000;400000;45826380;1,09407
6;20000;400000;45826380;1,1096
7;20000;400000;45826380;1,11965
8;20000;400000;45826380;1,20335
9;20000;400000;45826380;1,14607
10;20000;400000;45826380;1,10481
11;20000;400000;45826380;1,21341
12;20000;400000;45826380;1,11363
13;20000;400000;45826380;1,17219
14;20000;400000;45826380;1,18725
15;20000;400000;45826380;1,11648
16;20000;400000;45826380;1,12413
17;20000;400000;45826380;1,10941
18;20000;400000;45826380;1,09778
19;20000;400000;45826380;1,18433
20;20000;400000;45826380;1,16057
