i;n_obj;max_weight;max_value;seq_time
1;200;160;2425;6,91414e-06
2;200;160;2425;7,15256e-06
3;200;160;2425;6,91414e-06
4;200;160;2425;6,91414e-06
5;200;160;2425;7,15256e-06
6;200;160;2425;6,91414e-06
7;200;160;2425;7,15256e-06
8;200;160;2425;6,91414e-06
9;200;160;2425;7,15256e-06
10;200;160;2425;6,91414e-06
11;200;160;2425;8,10623e-06
12;200;160;2425;6,91414e-06
13;200;160;2425;7,15256e-06
14;200;160;2425;6,91414e-06
15;200;160;2425;6,91414e-06
16;200;160;2425;6,91414e-06
17;200;160;2425;6,91414e-06
18;200;160;2425;6,91414e-06
19;200;160;2425;6,91414e-06
20;200;160;2425;6,91414e-06
