i;n_obj;max_weight;max_value;seq_time
1;1600;80;1200;3,19481e-05
2;1600;80;1200;3,19481e-05
3;1600;80;1200;0,000129938
4;1600;80;1200;3,29018e-05
5;1600;80;1200;3,19481e-05
6;1600;80;1200;3,50475e-05
7;1600;80;1200;3,19481e-05
8;1600;80;1200;3,69549e-05
9;1600;80;1200;3,29018e-05
10;1600;80;1200;3,31402e-05
11;1600;80;1200;3,40939e-05
12;1600;80;1200;3,69549e-05
13;1600;80;1200;3,29018e-05
14;1600;80;1200;3,31402e-05
15;1600;80;1200;3,29018e-05
16;1600;80;1200;3,19481e-05
17;1600;80;1200;3,19481e-05
18;1600;80;1200;3,31402e-05
19;1600;80;1200;3,19481e-05
20;1600;80;1200;3,29018e-05
