i;n_obj;max_weight;max_value;seq_time
1;200;640;7670;3,31402e-05
2;200;640;7670;2,5034e-05
3;200;640;7670;2,21729e-05
4;200;640;7670;2,19345e-05
5;200;640;7670;2,40803e-05
6;200;640;7670;2,09808e-05
7;200;640;7670;4,41074e-05
8;200;640;7670;3,69549e-05
9;200;640;7670;2,5034e-05
10;200;640;7670;2,19345e-05
11;200;640;7670;2,31266e-05
12;200;640;7670;2,19345e-05
13;200;640;7670;2,19345e-05
14;200;640;7670;2,21729e-05
15;200;640;7670;2,19345e-05
16;200;640;7670;2,21729e-05
17;200;640;7670;2,19345e-05
18;200;640;7670;2,19345e-05
19;200;640;7670;2,19345e-05
20;200;640;7670;2,31266e-05
