i;n_obj;max_weight;max_value;seq_time
1;800;40;320;1,28746e-05
2;800;40;320;1,81198e-05
3;800;40;320;1,3113e-05
4;800;40;320;1,19209e-05
5;800;40;320;1,21593e-05
6;800;40;320;1,21593e-05
7;800;40;320;1,5974e-05
8;800;40;320;1,5974e-05
9;800;40;320;1,28746e-05
10;800;40;320;1,28746e-05
11;800;40;320;1,28746e-05
12;800;40;320;1,19209e-05
13;800;40;320;1,3113e-05
14;800;40;320;1,28746e-05
15;800;40;320;1,28746e-05
16;800;40;320;1,21593e-05
17;800;40;320;1,3113e-05
18;800;40;320;1,3113e-05
19;800;40;320;1,3113e-05
20;800;40;320;1,21593e-05
