i;n_obj;max_weight;max_value;seq_time
1;400;160;2605;1,3113e-05
2;400;160;2605;1,3113e-05
3;400;160;2605;1,28746e-05
4;400;160;2605;1,28746e-05
5;400;160;2605;1,3113e-05
6;400;160;2605;1,5974e-05
7;400;160;2605;1,28746e-05
8;400;160;2605;1,28746e-05
9;400;160;2605;1,40667e-05
10;400;160;2605;1,28746e-05
11;400;160;2605;1,28746e-05
12;400;160;2605;1,3113e-05
13;400;160;2605;1,28746e-05
14;400;160;2605;1,40667e-05
15;400;160;2605;1,40667e-05
16;400;160;2605;1,28746e-05
17;400;160;2605;1,19209e-05
18;400;160;2605;1,28746e-05
19;400;160;2605;1,19209e-05
20;400;160;2605;1,28746e-05
