i;n_obj;max_weight;max_value;seq_time
1;200;320;4825;1,50204e-05
2;200;320;4825;2,31266e-05
3;200;320;4825;1,50204e-05
4;200;320;4825;1,5974e-05
5;200;320;4825;1,50204e-05
6;200;320;4825;1,50204e-05
7;200;320;4825;1,50204e-05
8;200;320;4825;1,50204e-05
9;200;320;4825;1,50204e-05
10;200;320;4825;1,50204e-05
11;200;320;4825;1,50204e-05
12;200;320;4825;1,50204e-05
13;200;320;4825;1,50204e-05
14;200;320;4825;1,50204e-05
15;200;320;4825;1,81198e-05
16;200;320;4825;1,81198e-05
17;200;320;4825;1,50204e-05
18;200;320;4825;1,50204e-05
19;200;320;4825;1,50204e-05
20;200;320;4825;2,28882e-05
