i;n_obj;max_weight;max_value;seq_time
1;800;80;1080;1,88351e-05
2;800;80;1080;4,00543e-05
3;800;80;1080;1,71661e-05
4;800;80;1080;1,69277e-05
5;800;80;1080;1,69277e-05
6;800;80;1080;1,69277e-05
7;800;80;1080;1,69277e-05
8;800;80;1080;1,69277e-05
9;800;80;1080;1,69277e-05
10;800;80;1080;1,71661e-05
11;800;80;1080;1,5974e-05
12;800;80;1080;1,69277e-05
13;800;80;1080;1,69277e-05
14;800;80;1080;1,69277e-05
15;800;80;1080;1,71661e-05
16;800;80;1080;1,5974e-05
17;800;80;1080;1,81198e-05
18;800;80;1080;1,69277e-05
19;800;80;1080;1,5974e-05
20;800;80;1080;1,69277e-05
