i;procs;n_obj;max_weight;max_value;total_time
1;3;4000;100000;4915135;3,06646
2;3;4000;100000;4915135;3,02074
3;3;4000;100000;4915135;3,00317
4;3;4000;100000;4915135;3,0328
5;3;4000;100000;4915135;3,0622
6;3;4000;100000;4915135;3,07871
7;3;4000;100000;4915135;3,01072
8;3;4000;100000;4915135;3,09657
9;3;4000;100000;4915135;2,99485
10;3;4000;100000;4915135;3,01686
11;3;4000;100000;4915135;2,94843
12;3;4000;100000;4915135;3,041
13;3;4000;100000;4915135;3,00461
14;3;4000;100000;4915135;3,07569
15;3;4000;100000;4915135;3,0401
16;3;4000;100000;4915135;2,97476
17;3;4000;100000;4915135;3,02152
18;3;4000;100000;4915135;3,07214
19;3;4000;100000;4915135;2,98039
20;3;4000;100000;4915135;3,01417
