i;procs;n_obj;max_weight;max_value;total_time
1;1;2000;100000;3579205;1,72014
2;1;2000;100000;3579205;1,74806
3;1;2000;100000;3579205;1,70656
4;1;2000;100000;3579205;1,69005
5;1;2000;100000;3579205;1,69416
6;1;2000;100000;3579205;1,69915
7;1;2000;100000;3579205;1,71283
8;1;2000;100000;3579205;1,70936
9;1;2000;100000;3579205;1,70248
10;1;2000;100000;3579205;1,69149
11;1;2000;100000;3579205;1,73075
12;1;2000;100000;3579205;1,70006
13;1;2000;100000;3579205;1,67667
14;1;2000;100000;3579205;1,70529
15;1;2000;100000;3579205;1,70142
16;1;2000;100000;3579205;1,69339
17;1;2000;100000;3579205;1,68842
18;1;2000;100000;3579205;1,70144
19;1;2000;100000;3579205;1,68404
20;1;2000;100000;3579205;1,69214
