i;procs;n_obj;max_weight;max_value;total_time
1;6;2000;100000;3579205;2,00681
2;6;2000;100000;3579205;2,04997
3;6;2000;100000;3579205;2,02166
4;6;2000;100000;3579205;1,96292
5;6;2000;100000;3579205;1,99553
6;6;2000;100000;3579205;2,01902
7;6;2000;100000;3579205;1,99184
8;6;2000;100000;3579205;2,03829
9;6;2000;100000;3579205;2,00131
10;6;2000;100000;3579205;1,99272
11;6;2000;100000;3579205;2,00515
12;6;2000;100000;3579205;2,04936
13;6;2000;100000;3579205;1,98159
14;6;2000;100000;3579205;2,00232
15;6;2000;100000;3579205;1,99971
16;6;2000;100000;3579205;1,98771
17;6;2000;100000;3579205;2,0167
18;6;2000;100000;3579205;2,02029
19;6;2000;100000;3579205;2,0406
20;6;2000;100000;3579205;1,98711
