i;procs;n_obj;max_weight;max_value;total_time
1;4;2000;100000;3579205;1,76066
2;4;2000;100000;3579205;1,76193
3;4;2000;100000;3579205;1,68389
4;4;2000;100000;3579205;1,69582
5;4;2000;100000;3579205;1,71904
6;4;2000;100000;3579205;1,68204
7;4;2000;100000;3579205;1,70684
8;4;2000;100000;3579205;1,68218
9;4;2000;100000;3579205;1,64569
10;4;2000;100000;3579205;1,7187
11;4;2000;100000;3579205;1,71546
12;4;2000;100000;3579205;1,68574
13;4;2000;100000;3579205;1,67975
14;4;2000;100000;3579205;1,79155
15;4;2000;100000;3579205;1,74035
16;4;2000;100000;3579205;1,716
17;4;2000;100000;3579205;1,70346
18;4;2000;100000;3579205;1,68586
19;4;2000;100000;3579205;1,70543
20;4;2000;100000;3579205;1,6564
