i;procs;n_obj;max_weight;max_value;total_time
1;4;4000;100000;4915135;3,47794
2;4;4000;100000;4915135;3,40236
3;4;4000;100000;4915135;3,41172
4;4;4000;100000;4915135;3,52414
5;4;4000;100000;4915135;3,44264
6;4;4000;100000;4915135;3,43355
7;4;4000;100000;4915135;3,37629
8;4;4000;100000;4915135;3,43597
9;4;4000;100000;4915135;3,45718
10;4;4000;100000;4915135;3,39578
11;4;4000;100000;4915135;3,43125
12;4;4000;100000;4915135;3,4232
13;4;4000;100000;4915135;3,58984
14;4;4000;100000;4915135;3,52297
15;4;4000;100000;4915135;3,48248
16;4;4000;100000;4915135;3,48894
17;4;4000;100000;4915135;3,46472
18;4;4000;100000;4915135;3,53495
19;4;4000;100000;4915135;3,41431
20;4;4000;100000;4915135;3,4737
