i;procs;n_obj;max_weight;max_value;total_time
1;6;4000;100000;4915135;4,11541
2;6;4000;100000;4915135;4,08234
3;6;4000;100000;4915135;3,99791
4;6;4000;100000;4915135;3,96043
5;6;4000;100000;4915135;4,04324
6;6;4000;100000;4915135;4,08818
7;6;4000;100000;4915135;4,14709
8;6;4000;100000;4915135;4,08374
9;6;4000;100000;4915135;4,0086
10;6;4000;100000;4915135;4,09387
11;6;4000;100000;4915135;4,00863
12;6;4000;100000;4915135;4,0685
13;6;4000;100000;4915135;4,01712
14;6;4000;100000;4915135;4,07897
15;6;4000;100000;4915135;4,08604
16;6;4000;100000;4915135;4,00825
17;6;4000;100000;4915135;4,05973
18;6;4000;100000;4915135;3,99736
19;6;4000;100000;4915135;4,0878
20;6;4000;100000;4915135;3,99463
