i;procs;n_obj;max_weight;max_value;total_time
1;1;4000;100000;4915135;3,48986
2;1;4000;100000;4915135;3,48792
3;1;4000;100000;4915135;3,41736
4;1;4000;100000;4915135;3,38454
5;1;4000;100000;4915135;3,39757
6;1;4000;100000;4915135;3,40265
7;1;4000;100000;4915135;3,40558
8;1;4000;100000;4915135;3,37936
9;1;4000;100000;4915135;3,37467
10;1;4000;100000;4915135;3,40512
11;1;4000;100000;4915135;3,40674
12;1;4000;100000;4915135;3,41585
13;1;4000;100000;4915135;3,37857
14;1;4000;100000;4915135;3,39413
15;1;4000;100000;4915135;3,38542
16;1;4000;100000;4915135;3,40343
17;1;4000;100000;4915135;3,38792
18;1;4000;100000;4915135;3,40775
19;1;4000;100000;4915135;3,37333
20;1;4000;100000;4915135;3,38197
