i;procs;n_obj;max_weight;max_value;total_time
1;2;2000;100000;3579205;1,47665
2;2;2000;100000;3579205;1,48838
3;2;2000;100000;3579205;1,45514
4;2;2000;100000;3579205;1,44187
5;2;2000;100000;3579205;1,45465
6;2;2000;100000;3579205;1,4263
7;2;2000;100000;3579205;1,42679
8;2;2000;100000;3579205;1,4379
9;2;2000;100000;3579205;1,42117
10;2;2000;100000;3579205;1,45533
11;2;2000;100000;3579205;1,44102
12;2;2000;100000;3579205;1,43097
13;2;2000;100000;3579205;1,4286
14;2;2000;100000;3579205;1,42415
15;2;2000;100000;3579205;1,43692
16;2;2000;100000;3579205;1,43407
17;2;2000;100000;3579205;1,43795
18;2;2000;100000;3579205;1,42235
19;2;2000;100000;3579205;1,42212
20;2;2000;100000;3579205;1,45938
