i;procs;n_obj;max_weight;max_value;total_time
1;5;2000;100000;3579205;1,80737
2;5;2000;100000;3579205;1,82034
3;5;2000;100000;3579205;1,85281
4;5;2000;100000;3579205;1,81196
5;5;2000;100000;3579205;1,84365
6;5;2000;100000;3579205;1,85596
7;5;2000;100000;3579205;1,81765
8;5;2000;100000;3579205;1,82557
9;5;2000;100000;3579205;1,79034
10;5;2000;100000;3579205;1,76387
11;5;2000;100000;3579205;1,80502
12;5;2000;100000;3579205;1,78515
13;5;2000;100000;3579205;1,82563
14;5;2000;100000;3579205;1,81907
15;5;2000;100000;3579205;1,81179
16;5;2000;100000;3579205;1,83527
17;5;2000;100000;3579205;1,79666
18;5;2000;100000;3579205;1,77814
19;5;2000;100000;3579205;1,86496
20;5;2000;100000;3579205;1,7819
