i;procs;n_obj;max_weight;max_value;total_time
1;3;2000;100000;3579205;1,53733
2;3;2000;100000;3579205;1,5807
3;3;2000;100000;3579205;1,49559
4;3;2000;100000;3579205;1,51512
5;3;2000;100000;3579205;1,5485
6;3;2000;100000;3579205;1,57623
7;3;2000;100000;3579205;1,48977
8;3;2000;100000;3579205;1,51651
9;3;2000;100000;3579205;1,5213
10;3;2000;100000;3579205;1,53591
11;3;2000;100000;3579205;1,5215
12;3;2000;100000;3579205;1,44982
13;3;2000;100000;3579205;1,49454
14;3;2000;100000;3579205;1,53308
15;3;2000;100000;3579205;1,52945
16;3;2000;100000;3579205;1,44108
17;3;2000;100000;3579205;1,48102
18;3;2000;100000;3579205;1,46731
19;3;2000;100000;3579205;1,43908
20;3;2000;100000;3579205;1,45273
