i;N_THREADS;n_obj;max_weight;max_value;time;seq_time;par_time
1;4;20000;50000;5788335;0,804118;0,208197;0,595921
2;4;20000;50000;5788335;0,796501;0,208703;0,587799
3;4;20000;50000;5788335;0,78726;0,208274;0,578985
4;4;20000;50000;5788335;0,792037;0,208987;0,58305
5;4;20000;50000;5788335;0,781716;0,206618;0,575098
6;4;20000;50000;5788335;0,788889;0,204504;0,584385
7;4;20000;50000;5788335;0,775372;0,203855;0,571517
8;4;20000;50000;5788335;0,74894;0,202032;0,546907
9;4;20000;50000;5788335;0,815677;0,208415;0,607262
10;4;20000;50000;5788335;0,777998;0,207629;0,570369
11;4;20000;50000;5788335;0,77106;0,202548;0,568512
12;4;20000;50000;5788335;0,785337;0,204442;0,580896
13;4;20000;50000;5788335;0,805588;0,211608;0,59398
14;4;20000;50000;5788335;0,784252;0,206378;0,577874
15;4;20000;50000;5788335;0,811131;0,210463;0,600668
16;4;20000;50000;5788335;0,77519;0,208397;0,566793
17;4;20000;50000;5788335;0,811407;0,210111;0,601296
18;4;20000;50000;5788335;0,7918;0,21144;0,580361
19;4;20000;50000;5788335;0,79302;0,209285;0,583735
20;4;20000;50000;5788335;0,789703;0,208145;0,581558
