i;N_THREADS;n_obj;max_weight;max_value;time;seq_time;par_time
1;4;80000;100000;23181195;5,00862;1,58803;3,42059
2;4;80000;100000;23181195;4,77488;1,54966;3,22522
3;4;80000;100000;23181195;4,97541;1,57537;3,40003
4;4;80000;100000;23181195;4,88215;1,57751;3,30463
5;4;80000;100000;23181195;4,9063;1,57611;3,33019
6;4;80000;100000;23181195;4,94017;1,57746;3,36271
7;4;80000;100000;23181195;4,88317;1,56846;3,31471
8;4;80000;100000;23181195;4,9667;1,58616;3,38054
9;4;80000;100000;23181195;4,90213;1,57292;3,32921
10;4;80000;100000;23181195;4,88733;1,57445;3,31287
11;4;80000;100000;23181195;4,82279;1,55051;3,27228
12;4;80000;100000;23181195;4,90481;1,57041;3,33439
13;4;80000;100000;23181195;4,89815;1,56319;3,33496
14;4;80000;100000;23181195;4,88621;1,56228;3,32393
15;4;80000;100000;23181195;4,83139;1,57451;3,25688
16;4;80000;100000;23181195;4,88707;1,55202;3,33505
17;4;80000;100000;23181195;4,8836;1,5792;3,30439
18;4;80000;100000;23181195;4,88831;1,56846;3,31985
19;4;80000;100000;23181195;4,95333;1,57918;3,37415
20;4;80000;100000;23181195;4,79474;1,55474;3,24
