i,n_obj,max_weight,max_value,time
1,80000,400000,93492455,4.83001
2,80000,400000,93492455,4.73332
3,80000,400000,93492455,4.81579
4,80000,400000,93492455,4.80474
5,80000,400000,93492455,4.73568
6,80000,400000,93492455,4.93292
7,80000,400000,93492455,4.72001
8,80000,400000,93492455,4.72992
9,80000,400000,93492455,4.71951
10,80000,400000,93492455,4.71153
11,80000,400000,93492455,4.73913
12,80000,400000,93492455,4.7258
13,80000,400000,93492455,4.73542
14,80000,400000,93492455,4.75057
15,80000,400000,93492455,4.74054
16,80000,400000,93492455,4.73841
17,80000,400000,93492455,4.73492
18,80000,400000,93492455,4.72383
19,80000,400000,93492455,4.72109
20,80000,400000,93492455,4.70745
