i,n_obj,max_weight,max_value,time
1,20000,50000,5788335,0.116619
2,20000,50000,5788335,0.116965
3,20000,50000,5788335,0.121565
4,20000,50000,5788335,0.116199
5,20000,50000,5788335,0.116809
6,20000,50000,5788335,0.117195
7,20000,50000,5788335,0.116567
8,20000,50000,5788335,0.118747
9,20000,50000,5788335,0.117178
10,20000,50000,5788335,0.117302
11,20000,50000,5788335,0.116233
12,20000,50000,5788335,0.116148
13,20000,50000,5788335,0.116439
14,20000,50000,5788335,0.117439
15,20000,50000,5788335,0.116357
16,20000,50000,5788335,0.120382
17,20000,50000,5788335,0.127172
18,20000,50000,5788335,0.119106
19,20000,50000,5788335,0.117951
20,20000,50000,5788335,0.116115
