i,n_obj,max_weight,max_value,time
1,80000,800000,188973920,9.55529
2,80000,800000,188973920,9.51462
3,80000,800000,188973920,9.49633
4,80000,800000,188973920,9.54291
5,80000,800000,188973920,9.57438
6,80000,800000,188973920,9.52616
7,80000,800000,188973920,9.47376
8,80000,800000,188973920,9.52513
9,80000,800000,188973920,9.50063
10,80000,800000,188973920,9.52283
11,80000,800000,188973920,9.54267
12,80000,800000,188973920,9.49603
13,80000,800000,188973920,9.49058
14,80000,800000,188973920,9.50705
15,80000,800000,188973920,9.49559
16,80000,800000,188973920,9.49258
17,80000,800000,188973920,9.50994
18,80000,800000,188973920,9.52371
19,80000,800000,188973920,9.50485
20,80000,800000,188973920,9.51708
