i,n_obj,max_weight,max_value,time
1,320000,100000,46809700,4.3513
2,320000,100000,46809700,4.34636
3,320000,100000,46809700,4.35205
4,320000,100000,46809700,4.35204
5,320000,100000,46809700,4.35123
6,320000,100000,46809700,4.35426
7,320000,100000,46809700,4.34318
8,320000,100000,46809700,4.35837
9,320000,100000,46809700,4.34116
10,320000,100000,46809700,4.34151
11,320000,100000,46809700,4.33972
12,320000,100000,46809700,4.34031
13,320000,100000,46809700,4.35185
14,320000,100000,46809700,4.35299
15,320000,100000,46809700,4.35247
16,320000,100000,46809700,4.35012
17,320000,100000,46809700,4.353
18,320000,100000,46809700,4.38149
19,320000,100000,46809700,4.32606
20,320000,100000,46809700,4.33552
