i,n_obj,max_weight,max_value,time
1,320000,50000,23350520,1.88827
2,320000,50000,23350520,1.8709
3,320000,50000,23350520,1.86792
4,320000,50000,23350520,1.86464
5,320000,50000,23350520,1.8611
6,320000,50000,23350520,1.86586
7,320000,50000,23350520,1.86748
8,320000,50000,23350520,1.86694
9,320000,50000,23350520,1.86481
10,320000,50000,23350520,1.86452
11,320000,50000,23350520,1.86425
12,320000,50000,23350520,1.86075
13,320000,50000,23350520,1.86453
14,320000,50000,23350520,1.86274
15,320000,50000,23350520,1.87719
16,320000,50000,23350520,1.86014
17,320000,50000,23350520,1.86302
18,320000,50000,23350520,1.86446
19,320000,50000,23350520,1.86454
20,320000,50000,23350520,1.86948
