i,n_obj,max_weight,max_value,time
1,20000,400000,45826380,1.19853
2,20000,400000,45826380,1.19978
3,20000,400000,45826380,1.19356
4,20000,400000,45826380,1.18042
5,20000,400000,45826380,1.1856
6,20000,400000,45826380,1.18621
7,20000,400000,45826380,1.19291
8,20000,400000,45826380,1.17675
9,20000,400000,45826380,1.18191
10,20000,400000,45826380,1.17853
11,20000,400000,45826380,1.18085
12,20000,400000,45826380,1.17129
13,20000,400000,45826380,1.19093
14,20000,400000,45826380,1.18991
15,20000,400000,45826380,1.17583
16,20000,400000,45826380,1.18009
17,20000,400000,45826380,1.18869
18,20000,400000,45826380,1.18916
19,20000,400000,45826380,1.1807
20,20000,400000,45826380,1.18864
