i,n_obj,max_weight,max_value,time
1,160000,400000,133598390,9.60213
2,160000,400000,133598390,9.59613
3,160000,400000,133598390,9.56928
4,160000,400000,133598390,9.60925
5,160000,400000,133598390,9.73228
6,160000,400000,133598390,9.46108
7,160000,400000,133598390,9.45499
8,160000,400000,133598390,9.4252
9,160000,400000,133598390,9.42206
10,160000,400000,133598390,9.4244
11,160000,400000,133598390,9.45575
12,160000,400000,133598390,9.45466
13,160000,400000,133598390,9.4917
14,160000,400000,133598390,9.45298
15,160000,400000,133598390,9.42832
16,160000,400000,133598390,9.44107
17,160000,400000,133598390,9.43602
18,160000,400000,133598390,9.43512
19,160000,400000,133598390,9.45666
20,160000,400000,133598390,9.45993
