i,n_obj,max_weight,max_value,time
1,80000,100000,23181195,1.08864
2,80000,100000,23181195,1.09111
3,80000,100000,23181195,1.08448
4,80000,100000,23181195,1.09421
5,80000,100000,23181195,1.08237
6,80000,100000,23181195,1.09057
7,80000,100000,23181195,1.09852
8,80000,100000,23181195,1.08811
9,80000,100000,23181195,1.08875
10,80000,100000,23181195,1.10948
11,80000,100000,23181195,1.09715
12,80000,100000,23181195,1.09748
13,80000,100000,23181195,1.09249
14,80000,100000,23181195,1.09799
15,80000,100000,23181195,1.09547
16,80000,100000,23181195,1.09343
17,80000,100000,23181195,1.0949
18,80000,100000,23181195,1.10146
19,80000,100000,23181195,1.08999
20,80000,100000,23181195,1.08726
