i,n_obj,max_weight,max_value,time
1,160000,100000,33089375,2.17739
2,160000,100000,33089375,2.18697
3,160000,100000,33089375,2.16952
4,160000,100000,33089375,2.18426
5,160000,100000,33089375,2.17023
6,160000,100000,33089375,2.16452
7,160000,100000,33089375,2.17366
8,160000,100000,33089375,2.17532
9,160000,100000,33089375,2.20656
10,160000,100000,33089375,2.1642
11,160000,100000,33089375,2.16987
12,160000,100000,33089375,2.17697
13,160000,100000,33089375,2.18971
14,160000,100000,33089375,2.16523
15,160000,100000,33089375,2.17359
16,160000,100000,33089375,2.17291
17,160000,100000,33089375,2.18396
18,160000,100000,33089375,2.18118
19,160000,100000,33089375,2.17943
20,160000,100000,33089375,2.17705
