i,n_obj,max_weight,max_value,time
1,80000,50000,11731110,0.469888
2,80000,50000,11731110,0.477077
3,80000,50000,11731110,0.465899
4,80000,50000,11731110,0.473558
5,80000,50000,11731110,0.466457
6,80000,50000,11731110,0.496206
7,80000,50000,11731110,0.479901
8,80000,50000,11731110,0.471074
9,80000,50000,11731110,0.47014
10,80000,50000,11731110,0.467143
11,80000,50000,11731110,0.476859
12,80000,50000,11731110,0.467057
13,80000,50000,11731110,0.47468
14,80000,50000,11731110,0.470259
15,80000,50000,11731110,0.468145
16,80000,50000,11731110,0.475738
17,80000,50000,11731110,0.466769
18,80000,50000,11731110,0.466508
19,80000,50000,11731110,0.466477
20,80000,50000,11731110,0.466281
