i,n_obj,max_weight,max_value,time
1,20000,800000,89236915,2.40659
2,20000,800000,89236915,2.3851
3,20000,800000,89236915,2.42466
4,20000,800000,89236915,2.47738
5,20000,800000,89236915,2.55669
6,20000,800000,89236915,2.4472
7,20000,800000,89236915,2.54088
8,20000,800000,89236915,2.58587
9,20000,800000,89236915,2.43367
10,20000,800000,89236915,2.414
11,20000,800000,89236915,2.45783
12,20000,800000,89236915,2.51718
13,20000,800000,89236915,2.43035
14,20000,800000,89236915,2.41836
15,20000,800000,89236915,2.4128
16,20000,800000,89236915,2.4196
17,20000,800000,89236915,2.45326
18,20000,800000,89236915,2.41659
19,20000,800000,89236915,2.42114
20,20000,800000,89236915,2.41394
