i,n_obj,max_weight,max_value,time
1,320000,800000,369550805,38.1106
2,320000,800000,369550805,37.8969
3,320000,800000,369550805,38.0029
4,320000,800000,369550805,37.938
5,320000,800000,369550805,37.9594
6,320000,800000,369550805,37.9044
7,320000,800000,369550805,37.9869
8,320000,800000,369550805,37.8936
9,320000,800000,369550805,38.1258
10,320000,800000,369550805,38.1842
11,320000,800000,369550805,37.9523
12,320000,800000,369550805,37.9133
13,320000,800000,369550805,37.9051
14,320000,800000,369550805,37.8934
15,320000,800000,369550805,37.9761
16,320000,800000,369550805,38.0228
17,320000,800000,369550805,38.0033
18,320000,800000,369550805,37.9198
19,320000,800000,369550805,37.9235
20,320000,800000,369550805,37.9552
