i,n_obj,max_weight,max_value,time
1,40000,50000,8189655,0.24073
2,40000,50000,8189655,0.233489
3,40000,50000,8189655,0.236466
4,40000,50000,8189655,0.235441
5,40000,50000,8189655,0.236983
6,40000,50000,8189655,0.236039
7,40000,50000,8189655,0.23264
8,40000,50000,8189655,0.232548
9,40000,50000,8189655,0.245315
10,40000,50000,8189655,0.23244
11,40000,50000,8189655,0.232923
12,40000,50000,8189655,0.232502
13,40000,50000,8189655,0.238858
14,40000,50000,8189655,0.238973
15,40000,50000,8189655,0.236843
16,40000,50000,8189655,0.235081
17,40000,50000,8189655,0.232746
18,40000,50000,8189655,0.232975
19,40000,50000,8189655,0.233352
20,40000,50000,8189655,0.23411
