i,n_obj,max_weight,max_value,time
1,20000,100000,11421190,0.282429
2,20000,100000,11421190,0.285494
3,20000,100000,11421190,0.276795
4,20000,100000,11421190,0.277857
5,20000,100000,11421190,0.273213
6,20000,100000,11421190,0.274126
7,20000,100000,11421190,0.275131
8,20000,100000,11421190,0.2706
9,20000,100000,11421190,0.273295
10,20000,100000,11421190,0.269885
11,20000,100000,11421190,0.279084
12,20000,100000,11421190,0.283003
13,20000,100000,11421190,0.280017
14,20000,100000,11421190,0.273998
15,20000,100000,11421190,0.274821
16,20000,100000,11421190,0.274061
17,20000,100000,11421190,0.271169
18,20000,100000,11421190,0.271192
19,20000,100000,11421190,0.269847
20,20000,100000,11421190,0.273683
