i,n_obj,max_weight,max_value,time
1,40000,400000,64439870,2.37257
2,40000,400000,64439870,2.38754
3,40000,400000,64439870,2.40995
4,40000,400000,64439870,2.46278
5,40000,400000,64439870,2.46477
6,40000,400000,64439870,2.38581
7,40000,400000,64439870,2.38549
8,40000,400000,64439870,2.36262
9,40000,400000,64439870,2.36371
10,40000,400000,64439870,2.37524
11,40000,400000,64439870,2.37697
12,40000,400000,64439870,2.37311
13,40000,400000,64439870,2.37247
14,40000,400000,64439870,2.36449
15,40000,400000,64439870,2.35376
16,40000,400000,64439870,2.37092
17,40000,400000,64439870,2.35912
18,40000,400000,64439870,2.3795
19,40000,400000,64439870,2.38284
20,40000,400000,64439870,2.37346
