i,n_obj,max_weight,max_value,time
1,160000,50000,16329875,0.939183
2,160000,50000,16329875,0.946797
3,160000,50000,16329875,0.931979
4,160000,50000,16329875,0.93603
5,160000,50000,16329875,0.932827
6,160000,50000,16329875,0.941571
7,160000,50000,16329875,0.934643
8,160000,50000,16329875,0.933557
9,160000,50000,16329875,0.930609
10,160000,50000,16329875,0.936891
11,160000,50000,16329875,0.931403
12,160000,50000,16329875,0.930895
13,160000,50000,16329875,0.934051
14,160000,50000,16329875,0.931846
15,160000,50000,16329875,0.932265
16,160000,50000,16329875,0.933447
17,160000,50000,16329875,0.93264
18,160000,50000,16329875,0.933882
19,160000,50000,16329875,0.93318
20,160000,50000,16329875,0.930736
