i,n_obj,max_weight,max_value,time
1,160000,800000,263919935,19.4314
2,160000,800000,263919935,19.799
3,160000,800000,263919935,19.5318
4,160000,800000,263919935,20.6048
5,160000,800000,263919935,19.843
6,160000,800000,263919935,19.807
7,160000,800000,263919935,19.2217
8,160000,800000,263919935,19.0537
9,160000,800000,263919935,19.1542
10,160000,800000,263919935,19.1371
11,160000,800000,263919935,19.1113
12,160000,800000,263919935,19.1014
13,160000,800000,263919935,19.4458
14,160000,800000,263919935,19.2104
15,160000,800000,263919935,19.1048
16,160000,800000,263919935,19.0807
17,160000,800000,263919935,19.1366
18,160000,800000,263919935,19.0692
19,160000,800000,263919935,19.0039
20,160000,800000,263919935,18.9795
