i,n_obj,max_weight,max_value,time
1,320000,400000,185714720,18.9737
2,320000,400000,185714720,18.8802
3,320000,400000,185714720,18.8392
4,320000,400000,185714720,18.9051
5,320000,400000,185714720,18.8449
6,320000,400000,185714720,18.886
7,320000,400000,185714720,18.9344
8,320000,400000,185714720,18.8453
9,320000,400000,185714720,18.855
10,320000,400000,185714720,18.8431
11,320000,400000,185714720,18.804
12,320000,400000,185714720,18.836
13,320000,400000,185714720,18.8675
14,320000,400000,185714720,18.869
15,320000,400000,185714720,18.8208
16,320000,400000,185714720,18.8894
17,320000,400000,185714720,18.9192
18,320000,400000,185714720,18.8443
19,320000,400000,185714720,18.7942
20,320000,400000,185714720,18.7798
