i,n_obj,max_weight,max_value,time
1,40000,100000,16502125,0.54289
2,40000,100000,16502125,0.544131
3,40000,100000,16502125,0.544616
4,40000,100000,16502125,0.542997
5,40000,100000,16502125,0.545463
6,40000,100000,16502125,0.5457
7,40000,100000,16502125,0.54171
8,40000,100000,16502125,0.545905
9,40000,100000,16502125,0.548093
10,40000,100000,16502125,0.543176
11,40000,100000,16502125,0.550267
12,40000,100000,16502125,0.542631
13,40000,100000,16502125,0.542024
14,40000,100000,16502125,0.542579
15,40000,100000,16502125,0.541993
16,40000,100000,16502125,0.540418
17,40000,100000,16502125,0.544206
18,40000,100000,16502125,0.538462
19,40000,100000,16502125,0.539966
20,40000,100000,16502125,0.543709
